pk,age,sex,geoid,ii_1,ii_2,ii_3,tm_2_no_hisp_lat_orgn,tm_2_yes_mex_am_chicano_orgn,tm_2_yes_puerto_rican,tm_2_yes_cuban_origin,tm_2_yes_anthr_hisp_lat_spn_origin,tm_3_amrcn_indn_alsk_ntv,tm_3_asian,tm_3_blck_afrcn_amrcn,tm_3_hwan_other_pcfc_islander,tm_3_white,tm_3_other,tm_4,tm_5,tm_6,cn_hs_1,cn_hs_2_bug_infestation,cn_hs_2_mold,cn_hs_2_lead_paint_pipes,cn_hs_2_inadq_heat,cn_hs_2_oven_not_wkg,cn_hs_2_smoke_det_not_wkg,cn_hs_2_water_leaks,cn_hs_2_none_of_the_above,cn_fd_1,cn_fd_2,cn_tr_1,cn_ut_1,cn_sf_1,cn_sf_2,cn_sf_3,cn_sf_4,sn_ff_2
13197,44,F,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_1_3,6,MORE_THN_25_LESS_THEN_35K,STDY_HSNG,0,0,0,0,0,0,0,1,OFTEN_TRUE,OFTEN_TRUE,YES,YES,RARELY,FRLY_OFTN,SOMETIMES,SOMETIMES,SOMETIMES
13574,88,F,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,0,0,0,0,1,0,GRD_12_HGH_SCHL,1,"",STDY_HSNG,,,,,,,,,NEVER_TRUE,NEVER_TRUE,YES,NO,NEVER,NEVER,NEVER,NEVER,FRLY_OFTN
9321,31,F,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,0,0,0,0,1,0,0,0,0,1,0,CLG_1_3,2,MORE_THN_20_LESS_THEN_25K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,RARELY,NEVER,RARELY,NEVER
18189,21,M,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,0,0,0,0,1,0,GRD_12_HGH_SCHL,2,"",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,RARELY
1785,62,F,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",2,MORE_THN_10_LESS_THEN_15K,STDY_HSNG,1,0,0,0,0,0,0,0,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
14288,36,F,080770008002,OTHER,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","",LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,"",NEVER_TRUE,NO,NO,"","","","",""
5380,37,F,080770008002,MYSELF,ONE,NONE_OF_THE_ABOVE,1,0,0,0,0,,,,,,,GRD_12_HGH_SCHL,4,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,OFTEN_TRUE,OFTEN_TRUE,YES,YES,NEVER,NEVER,NEVER,RARELY,FRLY_OFTN
11155,16,F,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,0,1,0,0,0,0,0,0,0,0,1,GRD_9_11,5,MORE_THN_25_LESS_THEN_35K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
17982,23,M,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_4,"","",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
4234,56,M,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",2,MORE_THN_50_LESS_THEN_75K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,RARELY,""
4034,54,F,080770008002,OTHER,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,,,,,,,,,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
13452,42,F,080770008002,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,GRD_1_8,1,LESS_THN_10K,NO_STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,FRLY_OFTN
3526,65,F,080770008002,MYSELF,ONE,NONE_OF_THE_ABOVE,0,1,0,0,0,0,0,0,0,1,0,GRD_1_8,2,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,RARELY
13854,56,F,080770008002,MYSELF,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
6297,69,F,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",1,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,YES,NO,NEVER,RARELY,NEVER,"",RARELY
13231,61,F,080770008002,MYSELF,ONE,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_1_3,2,LESS_THN_10K,STDY_HSNG,1,0,0,0,0,0,0,0,SMTM_TRUE,SMTM_TRUE,YES,YES,NEVER,FRLY_OFTN,NEVER,SOMETIMES,SOMETIMES
1329,44,F,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,GRD_12_HGH_SCHL,3,MORE_THN_15_LESS_THEN_20K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
17353,57,F,080770008002,OTHER,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",1,MORE_THN_15_LESS_THEN_20K,HSNG_UNSURE,0,0,0,0,0,0,0,1,OFTEN_TRUE,OFTEN_TRUE,YES,YES,"","","","",""
5179,58,F,080770008002,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",HSNG_UNSURE,0,0,0,0,0,0,0,1,"","","","","","","","",""
938,62,F,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,0,0,0,0,1,0,GRD_12_HGH_SCHL,1,LESS_THN_10K,STDY_HSNG,1,0,0,0,0,0,1,0,SMTM_TRUE,SMTM_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
17249,36,F,080770008002,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,0,0,0,0,1,0,CLG_1_3,4,MORE_THN_10_LESS_THEN_15K,STDY_HSNG,0,0,0,0,0,0,0,1,SMTM_TRUE,SMTM_TRUE,YES,YES,"",FREQUENTLY,RARELY,FREQUENTLY,FRLY_OFTN
15626,47,F,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,GRD_12_HGH_SCHL,1,LESS_THN_10K,STDY_HSNG,1,0,0,0,0,0,0,0,OFTEN_TRUE,"",NO,"",NEVER,NEVER,NEVER,NEVER,FRLY_OFTN
14543,51,M,080770008002,OTHER,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
5631,46,M,080770008002,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",2,MORE_THN_10_LESS_THEN_15K,NO_STDY_HSNG,,,,,,,,,SMTM_TRUE,SMTM_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
7541,26,F,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_1_3,5,MORE_THN_20_LESS_THEN_25K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,"","",NEVER,SOMETIMES,NEVER,RARELY,ALWAYS
16516,31,F,080770008002,MYSELF,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",6,"",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
15671,29,F,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",2,MORE_THN_10_LESS_THEN_15K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
4581,54,M,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,,,,,,,CLG_1_3,1,LESS_THN_10K,STDY_HSNG,0,0,0,0,1,0,1,0,NEVER_TRUE,NEVER_TRUE,NO,YES,NEVER,NEVER,NEVER,NEVER,NEVER
6830,54,F,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,0,0,0,0,1,0,CLG_1_3,3,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,OFTEN_TRUE,OFTEN_TRUE,YES,NO,NEVER,SOMETIMES,NEVER,NEVER,FRLY_OFTN
12721,49,M,080770008002,MYSELF,TWO_OR_MORE,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,CLG_4,1,MORE_THN_75K,HSNG_UNSURE,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,YES,NO,NEVER,NEVER,NEVER,NEVER,NEVER
1444,45,F,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,,,,,,,GRD_12_HGH_SCHL,2,MORE_THN_10_LESS_THEN_15K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
4585,52,M,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,0,1,0,0,0,0,0,0,0,1,0,GRD_12_HGH_SCHL,4,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,YES,NEVER,NEVER,NEVER,NEVER,NEVER
13619,23,M,080770008002,OTHER,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","","",,,,,,,,,"","","","","","","","",""
16013,14,M,080770008002,OTHER,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,,,,,,,,,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
3506,74,F,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,GRD_12_HGH_SCHL,1,"",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,SOMETIMES
18486,13,F,080770008002,OTHER,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
1223,40,F,080770008002,MYSELF,ONE,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,GRD_12_HGH_SCHL,3,LESS_THN_10K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
13002,39,F,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,GRD_12_HGH_SCHL,4,"",STDY_HSNG,1,0,0,0,0,0,0,0,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
2566,61,F,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,1,0,0,0,0,0,0,0,0,1,0,GRD_12_HGH_SCHL,2,"",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
7119,60,M,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",1,MORE_THN_10_LESS_THEN_15K,STDY_HSNG,0,0,0,0,0,0,0,1,"","",YES,NO,"","","","",NEVER
